item_id,date,p10,p50,p90
positive_count,2020-12-13T00:00:00Z,1769.9710693359375,2450.535888671875,2649.72021484375
positive_count,2020-12-14T00:00:00Z,1632.222412109375,2228.328125,2456.81884765625
positive_count,2020-12-15T00:00:00Z,1741.3431396484375,2231.065185546875,2498.4921875
positive_count,2020-12-16T00:00:00Z,1794.56884765625,2078.138916015625,2571.344970703125
positive_count,2020-12-17T00:00:00Z,2220.08056640625,2487.259521484375,2647.980712890625
positive_count,2020-12-18T00:00:00Z,2159.001220703125,2467.395263671875,2764.0498046875
positive_count,2020-12-19T00:00:00Z,2011.197998046875,2203.459716796875,2506.910888671875
positive_count,2020-12-20T00:00:00Z,1699.3642578125,2002.40869140625,2203.349365234375
positive_count,2020-12-21T00:00:00Z,1564.684326171875,1901.7657470703125,1995.458740234375
positive_count,2020-12-22T00:00:00Z,1718.487548828125,2052.87646484375,2317.308349609375
positive_count,2020-12-23T00:00:00Z,1888.7877197265625,2290.60498046875,2651.669921875
positive_count,2020-12-24T00:00:00Z,1880.3116455078125,2322.5634765625,2479.0693359375
positive_count,2020-12-25T00:00:00Z,1577.2022705078125,1985.498291015625,2429.259521484375
positive_count,2020-12-26T00:00:00Z,1789.6995849609375,2097.05908203125,2273.77685546875
positive_count,2020-12-27T00:00:00Z,1103.9815673828125,1407.8026123046875,1575.969970703125
positive_count,2020-12-28T00:00:00Z,1003.1451416015625,1207.021728515625,1413.8487548828125
positive_count,2020-12-29T00:00:00Z,1176.122314453125,1600.755615234375,1875.6513671875
positive_count,2020-12-30T00:00:00Z,1651.2310791015625,1991.0689697265625,2051.30224609375
positive_count,2020-12-31T00:00:00Z,1560.08447265625,1837.9364013671875,2026.497802734375
positive_count,2021-01-01T00:00:00Z,1327.3052978515625,1842.35498046875,2039.3677978515625
positive_count,2021-01-02T00:00:00Z,1403.7601318359375,1772.8609619140625,1918.3543701171875
positive_count,2021-01-03T00:00:00Z,1098.422119140625,1369.1693115234375,1590.5751953125
positive_count,2021-01-04T00:00:00Z,1014.6939697265625,1257.2943115234375,1475.8399658203125
positive_count,2021-01-05T00:00:00Z,1041.7647705078125,1272.717041015625,1566.95947265625
positive_count,2021-01-06T00:00:00Z,1138.6334228515625,1197.8299560546875,1660.8956298828125
positive_count,2021-01-07T00:00:00Z,1146.95556640625,1413.8177490234375,1794.22412109375
positive_count,2021-01-08T00:00:00Z,1281.6986083984375,1590.7164306640625,1773.2294921875
positive_count,2021-01-09T00:00:00Z,1338.4261474609375,1475.022705078125,1722.4168701171875
positive_count,2021-01-10T00:00:00Z,761.6533813476562,1131.621337890625,1246.205322265625
positive_count,2021-01-11T00:00:00Z,551.2311401367188,719.0382080078125,1022.177734375
positive_count,2021-01-12T00:00:00Z,853.4097900390625,1142.6815185546875,1350.2056884765625
positive_count,2021-01-13T00:00:00Z,1035.9464111328125,1363.7706298828125,1677.58154296875
positive_count,2021-01-14T00:00:00Z,1119.39697265625,1502.212890625,1686.8614501953125
positive_count,2021-01-15T00:00:00Z,1241.1236572265625,1558.6063232421875,1701.99951171875
positive_count,2021-01-16T00:00:00Z,1015.7914428710938,1127.6630859375,1421.9080810546875
positive_count,2021-01-17T00:00:00Z,572.6428833007812,751.5337524414062,893.63818359375
positive_count,2021-01-18T00:00:00Z,711.6118774414062,965.1578979492188,1205.1956787109375
positive_count,2021-01-19T00:00:00Z,788.774658203125,1073.52783203125,1326.9130859375
positive_count,2021-01-20T00:00:00Z,778.2864990234375,1017.4898071289062,1103.7587890625
positive_count,2021-01-21T00:00:00Z,874.373779296875,1232.43212890625,1440.385986328125
positive_count,2021-01-22T00:00:00Z,1010.351806640625,1448.360107421875,1824.1009521484375
positive_count,2021-01-23T00:00:00Z,1103.0599365234375,1363.49755859375,1611.4737548828125
positive_count,2021-01-24T00:00:00Z,924.0682373046875,1074.0126953125,1311.541748046875
positive_count,2021-01-25T00:00:00Z,812.5499267578125,998.8076171875,1219.0037841796875
positive_count,2021-01-26T00:00:00Z,721.8859252929688,992.5596313476562,1177.4384765625
positive_count,2021-01-27T00:00:00Z,809.5682983398438,1066.187744140625,1175.58642578125
positive_count,2021-01-28T00:00:00Z,915.9434204101562,1302.3897705078125,1453.1619873046875
positive_count,2021-01-29T00:00:00Z,1128.778076171875,1312.4705810546875,1537.6551513671875
positive_count,2021-01-30T00:00:00Z,1065.75732421875,1199.059326171875,1366.4993896484375
positive_count,2021-01-31T00:00:00Z,758.9083251953125,952.0121459960938,960.4439697265625
positive_count,2021-02-01T00:00:00Z,762.40478515625,982.673583984375,1061.0225830078125
positive_count,2021-02-02T00:00:00Z,845.18408203125,1224.0069580078125,1511.496826171875
positive_count,2021-02-03T00:00:00Z,1037.9033203125,1382.3045654296875,1528.315673828125
positive_count,2021-02-04T00:00:00Z,1240.627197265625,1411.6123046875,1654.6177978515625
positive_count,2021-02-05T00:00:00Z,1184.3907470703125,1472.9727783203125,1949.0731201171875
positive_count,2021-02-06T00:00:00Z,1139.1231689453125,1351.9776611328125,1504.7796630859375
positive_count,2021-02-07T00:00:00Z,823.8338012695312,1032.956787109375,1153.8802490234375
positive_count,2021-02-08T00:00:00Z,833.70361328125,1022.178955078125,1167.696533203125
positive_count,2021-02-09T00:00:00Z,975.1180419921875,1125.4632568359375,1213.6845703125
positive_count,2021-02-10T00:00:00Z,1176.80224609375,1485.13330078125,1728.0941162109375
positive_count,2021-02-11T00:00:00Z,1407.1419677734375,1497.7470703125,1760.7371826171875
positive_count,2021-02-12T00:00:00Z,1339.801025390625,1673.2264404296875,1867.78564453125
positive_count,2021-02-13T00:00:00Z,1194.4769287109375,1298.1136474609375,1502.5743408203125
positive_count,2021-02-14T00:00:00Z,832.813720703125,903.6917114257812,1089.2540283203125
positive_count,2021-02-15T00:00:00Z,811.6331176757812,870.0557861328125,1101.4525146484375
positive_count,2021-02-16T00:00:00Z,976.542236328125,1285.4100341796875,1405.8768310546875
positive_count,2021-02-17T00:00:00Z,1164.7144775390625,1439.866943359375,1550.4921875
positive_count,2021-02-18T00:00:00Z,1394.0809326171875,1530.63427734375,1660.3563232421875
positive_count,2021-02-19T00:00:00Z,1492.4788818359375,1684.2572021484375,1874.3087158203125
positive_count,2021-02-20T00:00:00Z,1329.2698974609375,1502.8544921875,1763.537841796875
positive_count,2021-02-21T00:00:00Z,1008.8529663085938,1097.920166015625,1319.4559326171875
positive_count,2021-02-22T00:00:00Z,929.3218994140625,1095.1724853515625,1346.7640380859375
positive_count,2021-02-23T00:00:00Z,1202.0765380859375,1470.9464111328125,1688.89111328125
positive_count,2021-02-24T00:00:00Z,1298.5399169921875,1584.3216552734375,1896.51904296875
positive_count,2021-02-25T00:00:00Z,1687.880126953125,2111.3193359375,2360.724853515625
positive_count,2021-02-26T00:00:00Z,1929.352294921875,2281.006591796875,2444.701416015625
positive_count,2021-02-27T00:00:00Z,1619.4697265625,1883.1201171875,2225.778076171875
positive_count,2021-02-28T00:00:00Z,1182.7919921875,1399.7080078125,1754.5189208984375
positive_count,2021-03-01T00:00:00Z,1293.7164306640625,1485.0865478515625,2033.227783203125
positive_count,2021-03-02T00:00:00Z,1604.43310546875,2014.9686279296875,2322.8876953125
positive_count,2021-03-03T00:00:00Z,1858.736328125,2397.8076171875,2728.550048828125
positive_count,2021-03-04T00:00:00Z,2173.511474609375,2414.427001953125,2902.11962890625
positive_count,2021-03-05T00:00:00Z,2253.203369140625,2598.824951171875,2865.953369140625
positive_count,2021-03-06T00:00:00Z,2267.53955078125,2590.73876953125,3025.882568359375
positive_count,2021-03-07T00:00:00Z,1622.3388671875,2149.339111328125,2683.798095703125
positive_count,2021-03-08T00:00:00Z,1484.849365234375,1973.9429931640625,2488.08740234375
positive_count,2021-03-09T00:00:00Z,1449.822021484375,2124.312255859375,2749.6279296875
positive_count,2021-03-10T00:00:00Z,2011.3599853515625,2687.373291015625,3214.13037109375
positive_count,2021-03-11T00:00:00Z,2848.3720703125,3283.04443359375,3936.718994140625
positive_count,2021-03-12T00:00:00Z,2969.72802734375,3550.89501953125,3950.708251953125
positive_count,2021-03-13T00:00:00Z,2751.049072265625,3120.127685546875,3574.48095703125
positive_count,2021-03-14T00:00:00Z,1760.47265625,2206.5830078125,2556.369384765625
positive_count,2021-03-15T00:00:00Z,1700.9407958984375,2194.14111328125,2622.77099609375
positive_count,2021-03-16T00:00:00Z,1706.1697998046875,2735.0439453125,3072.121337890625
positive_count,2021-03-17T00:00:00Z,2989.650634765625,3609.650146484375,3818.93359375
positive_count,2021-03-18T00:00:00Z,3473.08349609375,3827.343994140625,4566.20458984375
positive_count,2021-03-19T00:00:00Z,3670.906982421875,4005.52978515625,4757.138671875
positive_count,2021-03-20T00:00:00Z,3188.586181640625,3685.761474609375,4295.40478515625
positive_count,2021-03-21T00:00:00Z,2175.04638671875,2771.54345703125,3110.162353515625
positive_count,2021-03-22T00:00:00Z,2140.338623046875,2647.004638671875,3032.4755859375
